trendTime,all,one,two,three,half,res
2023-04-23 21:21:17,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-23 21:41:15,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-23 22:01:15,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-23 22:21:13,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-23 22:41:14,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-23 23:01:14,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-23 23:21:15,0.37,0.08,0.36,2.45,0.85,0.19
2023-04-23 23:41:15,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-24 00:01:14,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-24 00:21:16,0.37,0.08,0.36,2.5,0.85,0.18
2023-04-24 00:41:13,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-24 01:01:12,0.37,0.08,0.36,2.48,0.86,0.19
2023-04-24 01:21:11,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-24 01:41:12,0.37,0.08,0.37,2.5,0.86,0.18
2023-04-24 02:01:11,0.37,0.08,0.37,2.5,0.85,0.19
2023-04-24 02:21:10,0.37,0.08,0.37,2.48,0.86,0.18
2023-04-24 02:41:10,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 03:01:11,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-24 03:21:10,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-24 03:41:09,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-24 04:01:07,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-24 04:21:06,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-24 04:41:07,0.37,0.08,0.36,2.46,0.85,0.18
2023-04-24 05:01:07,0.38,0.08,0.37,2.45,0.86,0.19
2023-04-24 05:21:06,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-24 05:41:06,0.37,0.08,0.37,2.44,0.86,0.19
2023-04-24 06:01:05,0.37,0.08,0.37,2.44,0.85,0.19
2023-04-24 06:21:04,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-24 06:41:04,0.37,0.08,0.37,2.49,0.85,0.19
2023-04-24 07:01:25,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-24 07:21:26,0.37,0.08,0.36,2.47,0.83,0.19
2023-04-24 07:41:26,0.37,0.08,0.36,2.48,0.84,0.18
2023-04-24 08:01:25,0.38,0.08,0.37,2.45,0.86,0.18
2023-04-24 08:21:26,0.37,0.08,0.36,2.45,0.85,0.19
2023-04-24 08:41:24,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-24 09:01:24,0.37,0.08,0.37,2.45,0.86,0.2
2023-04-24 09:21:24,0.37,0.08,0.36,2.43,0.85,0.19
2023-04-24 09:48:24,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-24 10:08:25,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-24 10:28:26,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-24 10:48:27,0.37,0.08,0.36,2.49,0.84,0.19
2023-04-24 11:08:25,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-24 11:28:23,0.38,0.08,0.37,2.48,0.85,0.19
2023-04-24 11:48:24,0.37,0.08,0.36,2.47,0.84,0.19
2023-04-24 12:08:25,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 12:31:31,0.37,0.08,0.37,2.47,0.86,0.19
2023-04-24 12:51:30,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-24 13:11:29,0.38,0.08,0.37,2.46,0.86,0.19
2023-04-24 13:31:28,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 13:51:28,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-24 14:11:28,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 14:31:27,0.37,0.08,0.36,2.46,0.85,0.18
2023-04-24 14:51:28,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-24 15:11:28,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-24 15:31:28,0.37,0.08,0.36,2.47,0.84,0.19
2023-04-24 15:51:29,0.37,0.08,0.37,2.46,0.84,0.18
2023-04-24 16:11:28,0.38,0.08,0.37,2.45,0.85,0.2
2023-04-24 16:31:27,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-24 16:51:25,0.37,0.08,0.37,2.48,0.86,0.18
2023-04-24 17:11:23,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-24 17:31:22,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-24 17:51:21,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-24 18:13:11,0.37,0.08,0.36,2.5,0.85,0.18
2023-04-24 18:33:11,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-24 18:53:11,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 19:13:10,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-24 19:33:09,0.37,0.08,0.36,2.45,0.85,0.19
2023-04-24 19:53:09,0.37,0.08,0.37,2.51,0.85,0.18
2023-04-24 20:13:11,0.37,0.08,0.36,2.48,0.85,0.19
