time,GenPCal
2021-11-03 10:06:34.843,7572.95
2021-11-03 10:06:37.843,7586.33
2021-11-03 10:06:41.243,7596.2
2021-11-03 10:06:44.323,7579.16
2021-11-03 10:06:47.420,7576.56
2021-11-03 10:06:50.503,7587.6
2021-11-03 10:06:53.603,7580.53
2021-11-03 10:06:56.723,7586.62
2021-11-03 10:06:59.783,7588.6
2021-11-03 10:07:02.823,7570.91
2021-11-03 10:07:05.850,7586.76
2021-11-03 10:07:08.843,7579.69
2021-11-03 10:07:11.840,7580.1
2021-11-03 10:07:15.343,7576.77
2021-11-03 10:07:18.440,7576.25
2021-11-03 10:07:21.543,7588.96
2021-11-03 10:07:24.643,7578.01
2021-11-03 10:07:27.740,7590.32
2021-11-03 10:07:30.843,7577.77
2021-11-03 10:07:33.843,7578.4
2021-11-03 10:07:36.843,7587.82
2021-11-03 10:07:40.223,7588.46
2021-11-03 10:07:43.320,7585.9
2021-11-03 10:07:46.423,7592.71
2021-11-03 10:07:49.523,7573.01
2021-11-03 10:07:52.603,7584.28
2021-11-03 10:07:55.700,7578.37
2021-11-03 10:07:58.783,7586.86
2021-11-03 10:08:01.840,7593.99
2021-11-03 10:08:04.843,7572.16
2021-11-03 10:08:07.840,7579.73
2021-11-03 10:08:10.843,7586.72
2021-11-03 10:08:14.343,7593.38
2021-11-03 10:08:17.463,7576.85
2021-11-03 10:08:20.563,7578.58
2021-11-03 10:08:23.660,7590.27
2021-11-03 10:08:26.743,7577.45
2021-11-03 10:08:29.843,7585.14
2021-11-03 10:08:32.840,7583.1
2021-11-03 10:08:35.840,7571.17
2021-11-03 10:08:39.223,7588.3
2021-11-03 10:08:42.320,7572.71
2021-11-03 10:08:45.463,7585.04
2021-11-03 10:08:48.560,7589.07
2021-11-03 10:08:51.660,7571.59
2021-11-03 10:08:54.760,7587.96
2021-11-03 10:08:57.840,7573.61
2021-11-03 10:09:00.843,7589.11
2021-11-03 10:09:03.843,7594.88
2021-11-03 10:09:06.843,7582.47
2021-11-03 10:09:10.320,7589.71
2021-11-03 10:09:13.480,7572.56
2021-11-03 10:09:16.560,7594.6
2021-11-03 10:09:19.643,7571.96
2021-11-03 10:09:22.743,7578.31
2021-11-03 10:09:25.820,7588.9
2021-11-03 10:09:28.843,7574.42
2021-11-03 10:09:31.840,7584.59
2021-11-03 10:09:34.843,7589.31
2021-11-03 10:09:38.300,7589.31
2021-11-03 10:09:41.420,7573.91
2021-11-03 10:09:44.523,7586.99
2021-11-03 10:09:47.620,7594.65
2021-11-03 10:09:50.740,7588.33
2021-11-03 10:09:53.840,7543.8
2021-11-03 10:09:56.840,7570.77
2021-11-03 10:09:59.843,7585.41
2021-11-03 10:10:02.840,7572.48
2021-11-03 10:10:06.340,7585.44
2021-11-03 10:10:09.440,7579.39
2021-11-03 10:10:12.580,7598.18
2021-11-03 10:10:15.720,7597.26
2021-11-03 10:10:18.820,7591.85
2021-11-03 10:10:21.820,7586.55
2021-11-03 10:10:24.820,7570.09
2021-11-03 10:10:27.820,7590.44
2021-11-03 10:10:30.820,7573.9
2021-11-03 10:10:34.380,7572.23
2021-11-03 10:10:37.480,7583.5
2021-11-03 10:10:40.560,7589.42
2021-11-03 10:10:43.680,7574.93
2021-11-03 10:10:46.780,7579.99
2021-11-03 10:10:49.840,7595.28
2021-11-03 10:10:52.840,7574.1
2021-11-03 10:10:55.840,7584.9
2021-11-03 10:10:59.320,7575.07
2021-11-03 10:11:02.420,7595.51
2021-11-03 10:11:05.520,7583.79
2021-11-03 10:11:08.620,7570.17
2021-11-03 10:11:11.800,7587.31
2021-11-03 10:11:15.240,7585.79
2021-11-03 10:11:18.720,7570.86
2021-11-03 10:11:21.820,7586.27
2021-11-03 10:11:25.480,7584.03
2021-11-03 10:11:28.580,7594.14
2021-11-03 10:11:31.820,7571.22
2021-11-03 10:11:35.620,7575.33
2021-11-03 10:11:38.680,7584.18
2021-11-03 10:11:41.840,7584.17
2021-11-03 10:11:45.400,7585.71
2021-11-03 10:11:48.500,7585.54
2021-11-03 10:11:51.820,7577.71
2021-11-03 10:11:54.843,7593.76
2021-11-03 10:11:58.220,7570.5
2021-11-03 10:12:01.500,7575.41
2021-11-03 10:12:04.800,7590.38
2021-11-03 10:12:07.840,7583.04
2021-11-03 10:12:11.240,7556.75
2021-11-03 10:12:14.500,7577.59
2021-11-03 10:12:17.820,7571.54
2021-11-03 10:12:21.280,7599.85
2021-11-03 10:12:24.520,7589.41
2021-11-03 10:12:27.780,7597.26
2021-11-03 10:12:30.840,7572.71
2021-11-03 10:12:33.840,7574.58
2021-11-03 10:12:37.340,7588.1
2021-11-03 10:12:40.420,7571.89
2021-11-03 10:12:43.680,7590.84
2021-11-03 10:12:46.840,7571.37
2021-11-03 10:12:50.300,7573.68
2021-11-03 10:12:53.560,7654.91
2021-11-03 10:12:56.820,7729.99
